Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
ARHG5_HUMAN	SigPrize	false	0, 1.824335, 0.872166, 0.959661, 1.084779, 0.774204, 0.449845, 0.110862	0, 1.248652, 0.71654, 0.881726, 0.96188, 0.670489, 0.714025, 0.466284	0, 0.870889, 0.592058, 0.813741, 0.609802, 0.620594, 0.379752, 0.335686	0, 2.329057, 2.12721, 2.414614, 2.206242, 1.807896, 1.685042, 1.561099	0, 1.969158, 1.679205, 1.980032, 1.595306, 1.718013, 1.248572, 0.971776											
ARHG7_HUMAN	SigPrize	true	0, 0.23797, 0.558226, 1.317028, 1.135342, 1.813743, 1.956297, 1.754766															
ARHGB_HUMAN	SigPrize	false	0, -0.46662, 1.215763, -0.479845, -0.38972, -0.202218, 0.327735, 0.349284															
ARIP4_HUMAN	Excluded	false							0, 0.417035, 0.29992, 0.456223, 0.494164, 0.245373, 0.364636, 0.090362									
ARL6_HUMAN	Steiner	false																
ARMX3_HUMAN	Excluded	false							0, 0.509114, 0.10158, 0.398938, 0.146516, 0.116362, 0.480979, 0.526177									
ARP8_HUMAN	Excluded	false							0, -0.22436, -0.17132, -0.360798, -0.184539, -1.036665, -0.233558, -0.438807									
ASPM_HUMAN	Excluded	false							0, -0.589765, -0.358208, -0.317069, -0.283023, -0.053531, -0.166746, 0.01596									
AT133_HUMAN	Excluded	false							0, 0.01274, -0.542067, 0.138994, -0.555458, 0.592794, 0.273116, 0.2097									
AT1A1_HUMAN	SigPrize	false	0, -0.678191, -0.670373, -0.721712, -0.829874, -0.439487, -0.429761, -0.074434						0, -0.574771, -0.374954, -0.386599, -1.006525, -0.619577, -0.45317, -0.860069									
AT2B1_HUMAN	SigPrize	false	0, -0.226977, -0.529628, -0.346509, -0.297838, -0.277457, -0.244633, -0.223121															
AT2B4_HUMAN	Steiner	false																
ATM_HUMAN	Steiner	false																
ATRX_HUMAN	Excluded	false							0, 0.118416, 0.020815, 0.006844, -0.016839, 0.229331, -0.004975, -0.344906	0, -0.21857, 0.101929, -0.621331, -0.214271, -0.173547, 0.07811, 0.018544	0, -0.322482, -0.182535, -0.337423, -0.463546, -0.020099, -0.01557, 0.135069							
