Protein	NodeType	ReferencePathway	SigPeptide1	SigPeptide2	SigPeptide3	SigPeptide4	SigPeptide5	SigPeptide6	InsigPeptide1	InsigPeptide2	InsigPeptide3	InsigPeptide4	InsigPeptide5	InsigPeptide6	InsigPeptide7	InsigPeptide8	InsigPeptide9	InsigPeptide10	
DEP1B_HUMAN	Excluded	false							0, -0.533082, -1.21513, -1.10844, -1.001584, -0.756339, -0.678152, -0.53351									
DESP_HUMAN	InsigPrize	false							0, 0.488346, 0.598895, 0.721772, 0.751619, 0.800699, 0.701537, 0.933749									
DHX29_HUMAN	Excluded	false							0, 0.097741, -0.432942, -0.019129, -0.218219, 0.040149, -0.08873, -0.155959									
DHX57_HUMAN	Excluded	false							0, 0.226496, -0.159431, -0.378802, -0.507726, -0.564471, -0.267012, -0.078866									
DIDO1_HUMAN	Excluded	false							0, -0.246824, -0.081044, -0.188474, -0.40872, -0.251737, -0.018912, -0.046271									
DJC17_HUMAN	Excluded	false							0, 0.879146, 0.643876, 1.207311, 0.057963, 0.451112, 0.449521, 0.141484									
DKC1_HUMAN	Excluded	false							0, -0.15311, 0.023184, -0.141303, -0.282387, -0.10101, -0.033372, 0.054022									
DLG3_HUMAN	SigPrize	false	0, 0.102679, 0.630266, 0.809179, 0.835593, 0.917403, 0.584292, 0.317184	0, 0.42319, 1.035023, 1.348085, 1.416448, 1.42458, 1.011274, 0.545277														
DLG5_HUMAN	Excluded	false							0, 0.022245, 0.00974, -0.193384, -0.081686, 0.243918, -0.006488, 0.382359									
DNLI1_HUMAN	InsigPrize	false							0, -0.496359, -0.35077, -0.193647, -0.473405, -0.274331, -0.236389, 0.248146	0, -0.053413, 0.070117, 0.048278, -0.261917, -0.438272, -0.144502, 0.008512	0, -0.419497, 0.306385, -0.442706, -0.263989, -0.15786, -0.087568, -0.064895							
DNLI3_HUMAN	Excluded	false							0, -0.524087, -0.305494, -0.33932, -0.23912, -0.154448, -0.187144, -0.321735	0, -0.225187, -0.441404, -0.192114, -0.12343, -0.180887, -0.087003, -0.119338								
DNM1L_HUMAN	SigPrize	false	0, -0.197115, -0.648147, -0.216139, -0.411091, -0.209395, -0.289383, -0.130961															
DNMT1_HUMAN	SigPrize	false	0, -0.424166, 1.001144, 0.032693, 0.320376, 0.621161, 0.528177, 0.568288	0, -0.251552, -0.466256, -0.072775, -0.27158, -0.008138, -0.178724, -0.216615														
DOCK1_HUMAN	SigPrize	false	0, 1.267731, 1.016648, 0.697036, 0.871973, 0.572126, 0.682051, 0.44136															
DOCK4_HUMAN	SigPrize	false	0, 1.749393, 1.153493, 0.215052, -0.139721, -0.344048, -0.300944, -0.209508	0, 1.98792, 1.648104, 1.040572, 0.660593, 0.91262, 0.054454, 0.173431	0, 1.861799, 1.591559, 0.571783, 0.375542, 0.021235, 0.095126, -0.492525													
DPP3_HUMAN	Steiner	false																
DREB_HUMAN	SigPrize	false	0, -0.54017, -0.315006, -0.054817, 0.208009, 0.611883, 1.06925, 1.484466						0, -0.181571, -0.158023, -0.266468, -0.188753, -0.074477, -0.094455, -0.492145									
DYR1B_HUMAN	SigPrize	false	0, -0.527998, 0.016928, -0.355713, -0.230057, 0.014649, 0.109611, -1.096451															
DYRK4_HUMAN	Excluded	false							0, -0.413411, -0.052861, -0.463083, -0.468333, -0.310251, -0.320489, -1.717223									
E41L2_HUMAN	InsigPrize	false							0, 0.192702, 0.006229, 0.535698, -0.334302, -0.060293, -0.108562, -0.269232	0, 0.518313, 0.526061, -0.285038, -0.171336, 0.006172, 0.224642, 0.002143								
E7EQJ0_HUMAN	Excluded	false							0, -0.349216, 0.05907, 0.329134, 0.052295, 0.131075, 0.318758, 0.233075									
E7EW20_HUMAN	Excluded	false	0, 2.969157, 2.921517, 2.053161, 1.818708, 1.26888, 0.358551, -0.377318															
E9PAU2_HUMAN	InsigPrize	false							0, -0.129693, -0.468038, -0.270863, -0.33003, -0.247525, -0.22226, -0.216991									
EDC3_HUMAN	Excluded	false							0, 0.195662, -0.091097, -0.105275, 0.12478, -0.290812, -0.142067, -0.357401									
EDC4_HUMAN	Excluded	false							0, -0.103282, -0.35625, -0.402753, -0.027993, -0.075643, -0.159974, 0.361137	0, 0.097182, 0.413863, -0.055855, 0.200293, -0.051421, 0.126135, -0.047502								
EF1A1_HUMAN	Excluded	true	0, -0.576969, -0.641686, -0.510597, -0.513919, -0.298611, -0.324633, -0.098946															
EF1B_HUMAN	Excluded	false							0, -0.816865, 0.112119, -0.84824, -0.009947, -0.333589, -0.020837, 0.403462	0, -0.126294, 0.022536, -0.060587, -0.303474, -0.116103, -0.013277, 0.318165								
EF1D_HUMAN	Excluded	false							0, 0.254595, -0.637623, 0.350313, -0.106823, -0.37536, -0.230444, -0.126544	0, -0.207666, -0.783116, -0.295536, -0.536867, -0.59649, -0.485051, -0.064963	0, -0.087876, 0.224397, 0.03393, -0.264728, 0.006262, -0.275632, -0.865528	0, -0.399194, -0.313957, -0.25653, -0.257591, -0.240846, -0.537418, -0.500144						
EFNA5_HUMAN	Steiner	false																
EFNB2_HUMAN	SigPrize	false	0, -0.43364, -0.465725, -0.512625, -0.319117, -0.340687, -0.417956, -0.463267															
EGFR_HUMAN	SigPrize	true	0, 0.462508, -0.111526, 1.628771, 1.973905, 1.501682, 1.006512, 0.634714	0, 1.706793, 1.095895, 1.321458, 1.171635, 0.625603, 0.30347, 0.449518	0, 3.930727, 3.84831, 3.685413, 3.302011, 2.311339, 1.510674, 0.919638	0, 0.0542, 0.145687, 0.485653, 0.627963, 0.602214, 0.534886, 0.173756	0, 0.590178, 0.303143, 0.578128, 0.569583, -0.064, -0.080574, -0.229355	0, 3.716657, 3.233759, 3.295341, 3.013552, 2.177902, 1.818266, 1.022037	0, 1.323077, 0.617695, 2.945826, 0.9606, 0.140366, 0.047952, -0.821563	0, 0.009397, 0.134101, 0.261963, 0.716338, 0.094007, 0.907885, 0.09119								
EGF_HUMAN	Steiner	true																
EGLN1_HUMAN	Excluded	false							0, -0.074575, -1.030512, -1.198311, -0.9475, -1.414341, -1.112068, -1.216412									
EIF3B_HUMAN	Excluded	false	0, 0.042371, -0.080124, -0.398844, -0.053067, -0.084276, -0.486452, -0.589665															
EIF3G_HUMAN	Excluded	false							0, 0.126655, 0.170128, -0.102013, 0.210909, 0.076085, 0.174573, 0.306388									
ELF2_HUMAN	SigPrize	false	0, -0.151766, -0.011463, 0.208115, 0.248197, 0.585603, 0.394105, 0.4461															
EMAL4_HUMAN	SigPrize	false	0, 0.001474, 0.215173, -0.233607, -0.274229, -0.35517, -0.325365, -0.189911															
ENPL_HUMAN	Excluded	false							0, 0.59121, 0.104459, 0.973638, 0.206218, -0.080072, 0.231703, 0.958666									
EP15R_HUMAN	Excluded	true							0, 0.205956, -0.799681, -0.085357, -0.373094, -0.005086, 0.069413, 0.030033	0, -0.353831, 0.083166, -0.541621, 0.09319, -0.087084, 0.033234, 0.111161								
EPHA2_HUMAN	InsigPrize	false							0, -1.096139, -1.032908, -0.727303, -0.809504, -0.337089, -0.410548, -0.1168									
EPHA3_HUMAN	SigPrize	false	0, -0.95436, -0.873407, -0.842006, -0.545578, -0.329218, -0.413388, -0.719739															
EPHA7_HUMAN	SigPrize	false	0, -1.089578, -0.898304, -1.122777, -0.923138, -0.802825, -0.746392, -0.861286	0, -0.786356, -1.051262, -0.556623, -0.414328, -0.414729, -0.40524, -0.22609					0, -1.014252, -1.089726, -0.866188, -0.673599, -0.398704, -0.705338, -0.627783									
EPN1_HUMAN	SigPrize	true	0, 0.482571, 0.674653, 1.303217, 1.5243, 0.878364, 0.246467, -0.264971															
EPS15_HUMAN	Excluded	true	0, 4.515558, 4.372003, 4.33437, 3.600846, 2.830258, 2.343244, 1.333825	0, -0.041211, -0.233439, -0.078428, 0.094777, 0.457661, 0.69955, 0.577664														
ERF_HUMAN	InsigPrize	false							0, -0.429619, 0.054789, -0.00967, -0.332178, 0.186341, 0.068493, 0.479129									
ESF1_HUMAN	Excluded	false							0, 0.033149, -0.158468, -0.518508, -0.202188, -0.23297, 0.186692, 0.036238									
EYA4_HUMAN	Excluded	false							0, -0.365429, 0.234702, -0.221309, -0.086936, -0.342825, -0.357255, -0.63499									
EZH2_HUMAN	Excluded	false							0, -0.140398, 0.028939, -0.167359, -0.291522, -0.467077, -0.042422, -0.068554	0, -0.298185, -0.384126, -0.332713, -0.017621, 0.047313, -0.212358, 0.012501								
F122A_HUMAN	Excluded	false							0, 0.181637, 0.16781, 0.171256, 0.350407, 0.226784, 0.183705, 0.219627									
F122B_HUMAN	Excluded	false							0, -0.221011, -0.006232, -0.838737, -0.02126, -0.277103, -0.090994, 0.115644	0, -0.548846, -0.05252, -0.132741, -0.315365, -0.347264, 0.035138, 0.002688								
F134A_HUMAN	Excluded	false							0, -0.005948, -0.348571, -0.582046, -0.382713, -0.070568, -0.147182, 0.246086									
F208A_HUMAN	SigPrize	false	0, 0.009495, 0.015786, 0.023106, 0.217577, 0.464061, 0.362679, 0.86703															
FA21A_HUMAN	Excluded	false							0, -0.213274, -0.085589, -0.093872, 0.208351, 0.089162, 0.139039, 0.511559	0, 0.769229, 0.897518, 0.404362, 1.027115, 0.801534, 0.298846, 0.636379								
FA21C_HUMAN	Excluded	false							0, -0.287883, -0.607546, -0.18487, -0.443965, -0.026929, -0.038997, 0.031749									
FA53C_HUMAN	SigPrize	false	0, -0.284147, 0.464319, -0.098841, -0.141055, -0.222225, -0.150933, -0.182961						0, -0.253598, 0.165811, -0.246479, 0.44285, -0.196279, 0.096363, 0.473897									
FACD2_HUMAN	InsigPrize	false							0, 0.393125, -0.019343, 0.305886, -0.287023, 0.014931, -0.00902, 0.042363									
FAK1_HUMAN	SigPrize	true	0, -0.658375, -0.905518, -0.842299, -0.790462, -0.635528, -0.283205, -0.26406						0, -0.073961, -0.273145, -0.079646, -0.260519, -0.133978, 0.109848, 0.075178									
FARP1_HUMAN	Excluded	false							0, 0.069855, -0.011024, -0.389203, -0.06962, 0.083951, 0.080461, -0.093411									
FBX4_HUMAN	Excluded	false							0, -0.551375, -0.237647, -0.377662, 0.033521, -0.2942, -0.191721, -0.178021									
FETUA_HUMAN	Excluded	false							0, -0.222297, -0.229123, -0.111689, -0.215169, -0.05843, -0.33971, -1.225352									
FGR_HUMAN	SigPrize	false	0, -0.70736, -0.483098, -0.352121, -0.43769, -0.330938, -0.172434, 0.197742															
FIP1_HUMAN	Excluded	false							0, 0.670979, 0.777818, 0.296951, -0.076011, -0.160988, -0.242041, -0.259971									
FKB15_HUMAN	Excluded	false							0, -0.229131, -0.239736, 0.282186, -0.629039, -0.495676, -0.16641, -0.633016	0, -0.280298, 0.150332, -0.492683, 0.015567, 0.02941, -0.010119, 0.027552								
FNBP4_HUMAN	SigPrize	false	0, -0.833432, -1.222049, -0.586107, -0.587603, -0.801669, -0.530158, -0.444227						0, -0.171008, 0.342222, -0.209115, -0.213146, -0.117273, 0.002186, -0.013406									
FOXK1_HUMAN	Excluded	false							0, -0.28145, -0.127252, -0.271342, 0.235364, -0.230092, -0.265672, 0.184352									
FRIH_HUMAN	Excluded	false							0, -0.359507, -0.277177, 0.078265, -0.482944, -0.128274, -0.291893, -1.286788									
FUBP1_HUMAN	Excluded	false							0, 0.080673, 0.447223, 0.07177, 0.189317, 0.206154, 0.272338, -0.595702	0, -0.298515, 0.09705, -0.473441, -0.245811, -0.030707, -0.242719, -0.245421								
FUBP2_HUMAN	Excluded	false							0, -0.175473, -0.062592, 0.033896, -0.396001, -0.035814, -0.010874, 0.229248									
FUND2_HUMAN	SigPrize	false	0, -0.081288, 0.435767, 0.491622, 0.773284, 0.767278, 0.501763, 0.123586															
FYN_HUMAN	Excluded	false	0, -0.454539, -0.652072, -0.435822, -0.463121, -0.338641, -0.278776, -0.10423						0, -0.813731, -0.41751, -0.251246, -0.102334, 0.35808, 0.242703, -0.1038	0, -0.58897, -0.018372, -0.381292, -0.072421, -0.052119, 0.090066, 0.105405								
G3BP1_HUMAN	Excluded	false							0, -0.475861, 0.068135, -0.40151, -0.178296, -0.046131, -0.27431, 0.113512	0, 0.33965, 0.419791, 0.389858, 0.162472, 0.394849, 0.333089, 0.344468								
G3V3T3_HUMAN	Excluded	false							0, -0.367648, -0.001007, -0.123679, -0.521817, -0.413165, -0.21819, -0.153691									
G5E9E7_HUMAN	Excluded	false							0, 0.159825, -0.147168, -0.068116, 0.067022, 0.399919, 0.319854, 0.403598									
GAB1_HUMAN	SigPrize	true	0, 2.106473, 1.705775, 1.128594, 1.012608, 0.760694, 0.728156, 0.324223	0, 2.159985, 1.868177, 1.902938, 1.898124, 1.58326, 1.373997, 1.028551	0, 0.804724, 0.766787, 0.664263, 0.683999, 0.653674, 0.406589, 0.293401				0, 0.606104, 0.247175, -0.182443, -0.144639, -0.043552, -0.040374, -0.313926									
GAPD1_HUMAN	Steiner	false																
GAREM_HUMAN	SigPrize	false	0, 1.06826, 1.011596, 0.904284, 1.285192, 1.149788, 0.976739, 0.799477															
GCP60_HUMAN	Excluded	false							0, -0.162723, 0.101746, 0.551704, 0.506558, 0.706483, 0.693921, 0.160724									
GGA3_HUMAN	SigPrize	false	0, -0.432681, -0.841852, -0.445718, -0.401954, -0.205725, -0.328239, -0.163145															
GIT1_HUMAN	Excluded	true							0, -0.523259, 0.042821, -0.311557, 0.117539, 0.436942, 0.247558, 0.321222	0, -0.376983, 0.132601, -0.64518, -0.221043, -0.593392, -0.131073, -0.122439								
GLCI1_HUMAN	Excluded	false							0, -0.20405, -0.259954, -0.241813, -0.245254, -0.378188, -0.206713, -0.330476									
GLIS2_HUMAN	Steiner	false																
GNL1_HUMAN	Excluded	false							0, -0.218404, -0.191564, -0.444111, -0.188244, -0.24794, 0.203362, 0.459485									
GOGA4_HUMAN	Excluded	false							0, -0.063029, 0.05258, -0.139212, -0.018025, -0.101264, 0.073124, 0.283834									
GOGB1_HUMAN	Excluded	false							0, -0.316234, 0.041651, -0.185219, -0.308538, -0.132385, -0.582851, -0.240394									
GPBL1_HUMAN	Excluded	false							0, 0.176404, 0.048666, -0.125491, 0.02809, -0.203574, -0.357015, -0.211414									
GPN1_HUMAN	Excluded	false							0, 0.093538, 0.439837, -0.218599, -0.14922, -0.070839, 0.151989, 0.444128									
GRB2_HUMAN	SigPrize	true	0, 2.114914, 2.558819, 2.172323, 2.23812, 1.532805, 1.086215, -0.241155															
GRM1A_HUMAN	Excluded	false	0, 0.510099, 0.942394, 0.932392, 0.374626, 0.449157, 0.842672, 0.152107															
GSK3A_HUMAN	SigPrize	false	0, -0.417661, -0.353533, -0.457513, -0.33182, -0.233764, -0.060409, 0.135996						0, -0.828604, -0.648803, -1.051833, -0.406698, -0.04486, -0.314803, -0.709189	0, -0.621764, -0.467159, -0.580445, -0.527537, -0.278379, -0.218249, 0.529065	0, 0.201792, 0.136611, -0.07456, 0.321029, 0.33804, 0.438684, 0.452993							
GUAA_HUMAN	Excluded	false							0, 0.017306, -0.243347, -0.059125, -0.208966, -0.36963, -0.038664, -0.077356									
H0YLL2_HUMAN	Excluded	false							0, -0.055697, -0.460133, -0.240099, -0.644423, -0.216483, -0.406296, -0.159068									
H14_HUMAN	Excluded	false							0, 1.347154, -0.084326, 1.416188, -0.269246, -0.063372, 0.083198, -0.173773									
H1X_HUMAN	Excluded	false							0, -0.024567, -1.275186, -0.187424, -0.729764, -0.700165, -0.760153, -0.90701									
H2AY_HUMAN	SigPrize	false	0, 0.005752, -1.077505, -0.56872, -0.486506, -0.394221, -0.557572, -0.511929						0, -0.097905, -0.874188, -0.448222, -0.28736, -0.126281, -0.436343, -0.224918									
H31T_HUMAN	Excluded	true							0, -0.270522, 0.057897, -0.116452, -0.208432, -0.214034, -0.217826, -0.142284									
H90B2_HUMAN	Excluded	false							0, 0.550846, 0.307786, 0.267999, 0.187368, -0.155511, -0.104249, 0.21073	0, -0.742754, -0.59091, -0.652749, -0.609768, -0.31797, -0.213382, -0.260286								
HACD3_HUMAN	SigPrize	false	0, -0.196949, 0.277753, 0.111814, -0.299934, -0.461953, -0.230359, -0.080013						0, -0.259713, 0.060426, -0.312678, -0.257918, -0.226874, -0.13905, -0.183196									
HAP28_HUMAN	Excluded	false							0, -0.037297, -0.109155, 0.205445, -0.144994, -0.138224, -0.19662, 0.027046									
HAUS6_HUMAN	Excluded	false							0, -0.65457, -0.038917, -0.043747, 0.30803, 0.396878, -0.000241, -0.34495									
HBS1L_HUMAN	Excluded	false							0, 0.831492, 0.400876, 0.051649, 0.014432, -0.209597, 0.011712, -0.126474									
HDAC1_HUMAN	Excluded	true							0, -0.40019, 0.024319, -0.478557, -0.312775, -0.3551, -0.134474, -0.197258	0, -0.433552, -0.172082, -0.411874, -0.46344, -0.046719, 0.049517, 0.184386								
HDAC2_HUMAN	InsigPrize	true							0, 0.014763, 0.373122, -0.012464, 0.079074, 0.290447, 0.252398, 0.062937	0, -0.330768, 0.028645, -0.897243, 0.08333, -0.196325, 0.153964, 0.061115	0, -0.060928, -0.158024, -0.556254, -0.358569, -0.234691, -0.192749, 0.082048							
HDAC4_HUMAN	Excluded	false							0, -0.215061, -0.375668, -0.397967, -0.138361, -0.121093, -0.377413, -0.096039									
HDGF_HUMAN	Excluded	false							0, -0.469611, -1.181714, -0.561976, -0.515641, -0.779561, -0.794674, -0.686734									
HERC2_HUMAN	Excluded	false							0, -0.108727, -0.358956, -0.144517, -0.301507, -0.301366, -0.126511, 0.141153									
HEXI2_HUMAN	Excluded	false							0, 0.066427, 0.342109, -0.055471, -0.094176, -0.052766, 0.086885, -0.210671	0, -0.330336, -0.215291, -0.561349, -0.400377, -0.39695, -0.446757, -0.346361								
HGS_HUMAN	SigPrize	true	0, 1.25853, 1.298875, 1.986722, 1.844261, 0.656414, 0.238052, -0.090293	0, 1.362208, 1.863378, 3.114077, 2.228265, 1.040692, 0.927359, -0.557052	0, 0.411847, 1.046778, 3.491975, 3.076692, 2.113603, 1.026224, 0.09114	0, 1.975728, 3.034296, 4.174151, 3.777221, 2.578217, 0.879717, 0.124158			0, -0.431201, -0.432482, 0.008584, 0.112209, 0.631724, 0.725422, 0.815345									
HIPK2_HUMAN	SigPrize	false	0, -0.58028, -0.414517, -0.627459, -0.529438, -0.356737, -0.363843, -0.422281															
HIPK3_HUMAN	SigPrize	false	0, -0.438712, -0.284239, -0.215966, -0.398505, -0.263824, -0.307184, -0.485218															
HIRP3_HUMAN	InsigPrize	false							0, -0.160778, -0.201959, -0.046265, 0.003445, 0.254909, 0.14964, -0.07954	0, 0.340926, 0.399525, 0.139187, -0.08651, -0.157162, 0.226807, -0.0137	0, 0.324828, 0.347854, 0.306438, -0.272728, 0.010867, 0.052596, -0.15788	0, -0.441234, -0.264743, -0.367664, -0.515038, -0.155804, -0.4798, -0.361482						
HJURP_HUMAN	InsigPrize	false							0, -0.083141, -0.172897, -0.273202, 0.022987, -0.060051, -0.167207, 0.168681									
HM20B_HUMAN	Steiner	false																
HN1_HUMAN	Excluded	false							0, -0.376408, -0.072578, 0.044644, -0.226743, 0.249937, -0.004928, 0.984358									
HNRH1_HUMAN	Excluded	false							0, -0.243821, 0.092783, 0.00236, -0.022983, 0.223634, 0.657734, 0.762805									
HNRL1_HUMAN	SigPrize	false	0, -0.307134, -0.42232, -0.299446, -0.130509, -0.330096, -0.440699, 0.161176						0, -0.57968, -0.765099, -1.158781, -0.569943, -0.506767, -0.720817, -0.368731									
HNRPC_HUMAN	Excluded	false							0, -0.13935, 0.088114, 0.079508, -0.020815, 0.40249, 0.308691, 0.77923	0, -0.757167, 0.226959, -0.652242, -0.19666, 0.099788, 0.139417, 0.910588	0, -0.663461, -1.024297, -0.678607, -0.567606, -0.408637, -0.41789, -0.112204							
HNRPK_HUMAN	Excluded	false							0, 0.119249, 0.562097, 0.227113, -0.194721, -0.26612, -0.325036, -0.284976									
HNRPU_HUMAN	Excluded	false							0, -0.148488, -0.401689, -0.140509, -0.189942, -0.213375, -0.419578, -0.112729	0, -0.484433, -0.545855, -0.768038, -0.65436, -0.610416, -0.404993, -0.383559	0, -0.044346, -0.226951, -0.092747, -0.341109, -0.174101, -0.063235, -0.126141							
HOIL1_HUMAN	SigPrize	false	0, 2.044013, 2.479455, 2.503205, 2.751328, 1.741613, 0.678238, 0.414383															
HS90A_HUMAN	Excluded	false							0, -1.079596, -0.939991, -1.39643, -0.83077, -0.374256, -0.130096, -0.215478	0, -0.209798, -0.06425, -0.236609, 0.020665, 0.016924, 0.399749, 0.368131	0, -0.333172, -0.959607, -0.448371, -0.780542, -0.57544, -0.381732, -0.469678							
HS90B_HUMAN	Excluded	false							0, -0.928837, -0.814757, -0.907153, -0.415203, -0.557104, -0.280231, 0.097067									
HSF1_HUMAN	Excluded	false							0, -0.132522, -0.620128, -0.274267, -0.332496, -0.338451, -0.240804, -0.309603									
HSP71_HUMAN	Excluded	false							0, 0.262486, 0.006886, 0.098711, 0.367369, 0.22905, 0.040907, 0.178319									
HTSF1_HUMAN	SigPrize	false	0, -0.092326, -0.682523, -0.362676, -0.437852, -0.320833, -0.416297, -0.277409	0, 0.385612, 0.934205, 0.901289, -0.106679, 0.014416, -0.221799, -0.508116	0, 0.837355, 1.065657, 1.548441, 0.446939, 1.029799, 0.491497, 0.584592				0, 0.133123, 0.003992, 0.128177, -0.285745, -0.452568, -0.347053, -0.592343	0, -0.487217, -0.630278, -0.477028, -0.181265, -0.475609, -0.363515, -0.181832								
HUWE1_HUMAN	InsigPrize	false							0, -0.155497, -0.146657, 0.158156, -0.338807, 0.005657, -0.193183, 0.394691	0, -0.527447, -0.382088, -0.529692, -0.179718, 0.308985, 0.340277, 0.472475	0, -0.386377, -0.10524, -0.44311, -0.465618, -0.494033, -0.289279, -0.12786	0, 0.107916, 0.543024, -0.399856, 0.058157, -0.375272, -0.011669, -0.476798						
I2BP1_HUMAN	InsigPrize	false							0, -0.084061, -0.373879, -0.174717, -0.162297, 0.045482, 0.045146, -0.167672	0, -0.236919, 0.223809, -0.092954, -0.132432, -0.096198, -0.177246, -0.317487								
I2BP2_HUMAN	SigPrize	false	0, -0.10008, 0.137571, -0.287808, -0.24927, -0.360736, -0.620029, -0.98678						0, 0.000536, -0.352923, -0.283112, -0.140924, 0.088828, 0.036058, 0.573981	0, 0.135866, 0.149163, 0.028533, 0.239812, 0.177095, 0.297808, 0.01422	0, -0.207656, 0.058085, -0.418832, -0.46559, -0.372351, -0.312298, -0.289427							
ICK_HUMAN	SigPrize	false	0, -0.83699, -1.020956, -0.70039, -0.882178, -0.652098, -0.41411, -0.450437															
ICLN_HUMAN	InsigPrize	false							0, -0.18979, -0.256915, -0.292534, -0.19464, -0.018143, -0.047882, -0.000587									
IF2B1_HUMAN	Excluded	false							0, 0.200297, 0.141135, 0.04875, -0.017361, 0.023277, 0.061364, -0.175584									
IF2P_HUMAN	InsigPrize	false							0, -0.183759, -0.308779, -0.127339, -0.139246, 0.005044, -0.001395, -0.120883	0, -0.246491, 0.29756, -0.303487, 0.243666, 0.444865, -0.033535, 0.143501								
IF4B_HUMAN	SigPrize	false	0, 1.309757, 1.354118, 1.231315, 1.037365, 0.574875, 0.274561, 0.71354						0, 0.85554, 0.924348, 0.838481, 0.617037, 0.14543, 0.242984, 0.071561									
IF4G1_HUMAN	SigPrize	false	0, 0.033316, 0.199355, 0.758347, 0.954574, 1.08537, 0.989743, 1.000061						0, -0.157108, 0.211129, -0.255109, 0.176774, 0.260914, 0.083182, -0.191976	0, -0.249075, -0.46465, -0.176182, -0.447894, -0.337893, -0.186527, -1.234574								
IGF1R_HUMAN	SigPrize	false	0, -1.066968, -1.459085, -1.208131, -1.052332, -0.868984, -0.709892, -0.579038															
IMA1_HUMAN	Excluded	false							0, -0.161402, -0.531635, -0.177203, -0.176175, 0.05877, -0.000509, -0.207011									
IMA3_HUMAN	Excluded	false							0, -0.455833, 0.389543, -0.698481, -0.272006, -0.31638, -0.379485, -0.041841									
INADL_HUMAN	Excluded	false							0, -0.006732, 0.332295, -0.265473, -0.122921, -0.082184, 0.0468, 0.02238									
IPP2M_HUMAN	Excluded	false							0, -0.457136, -0.273041, -1.155164, -0.43584, -0.392965, -0.202315, -0.396821									
IRF2_HUMAN	Steiner	false																
IRS4_HUMAN	SigPrize	false	0, 2.028588, 1.016132, 0.513704, 0.525187, 0.509449, 0.241479, -0.13924	0, 2.616739, 1.715346, 0.781296, 0.70774, 0.576819, 0.519084, 0.10441	0, 0.956158, 0.44401, -0.075182, -0.054117, -0.020577, 0.058892, -0.126776	0, 1.162557, 0.272129, 0.100486, 0.064723, -0.182412, 0.052507, -0.07513	0, 0.72842, 0.499451, 0.329973, 0.189143, 0.170458, 0.255375, 0.292657	0, 0.258004, -0.308821, -0.217765, -0.353623, -0.31626, -0.151135, -0.202434	0, 0.256457, -0.145658, -0.066684, -0.12661, -0.041729, 0.068521, 0.335521	0, -0.115721, 0.261709, 0.162688, -0.006151, 0.84471, 0.408527, 0.39277	0, 0.400393, 0.63416, 0.029295, 0.144686, -0.167174, 0.216569, 0.359963	0, 0.059127, 0.139053, 0.048999, 0.090776, 0.28331, 0.534009, 0.605399						
ITSN1_HUMAN	Excluded	false							0, -0.173212, -0.129584, -0.602757, -0.336122, -0.220478, -0.410607, -0.261132									
ITSN2_HUMAN	SigPrize	false	0, 1.690329, 0.633225, 0.349626, -0.025819, -0.242493, -0.601992, -0.808944	0, 0.827101, 0.483736, -0.205814, -0.212752, -0.522799, -0.252841, -0.6769	0, 1.544418, 0.978741, 0.318369, 0.108122, -0.055238, 0.009758, 0.082857													
IWS1_HUMAN	SigPrize	false	0, 0.806233, 1.365531, 2.069068, 1.281303, 1.444024, 1.373448, 0.81724						0, -0.208147, -0.19408, -0.378683, -0.300197, -0.276004, -0.09395, 0.181065									
J3KPV7_HUMAN	Excluded	false							0, -0.187752, -0.201702, -0.31208, -0.311784, -0.249178, -0.196403, -0.195467									
JIP4_HUMAN	Excluded	false							0, -0.287432, -0.756736, 0.100427, -0.686817, -0.554289, -0.461998, -1.006101									
JUN_HUMAN	Excluded	true							0, -0.133892, 0.246475, 0.074348, 0.155912, 0.279099, 0.318395, 0.741246	0, -0.255771, -0.383691, 0.043437, 0.447079, 0.751072, 0.623906, 0.850161								
K.n[305.21]NNTAAETEDDES[167.00]DGEDRGGGTSGVR.R_PSEUDONODE	Excluded	false							0, 0.249797, 1.055403, 0.594993, 0.055789, 0.233004, 0.715133, 0.015643									
K0195_HUMAN	Excluded	false							0, 0.063562, -0.40373, -0.413661, 0.008461, -1.567649, 0.174867, 0.02271									
KAP2_HUMAN	SigPrize	true	0, -0.111088, 1.944106, 0.469839, 0.820537, 0.977731, 1.162319, 0.577738						0, -0.036272, 0.153185, -0.2216, 0.00959, -0.055244, 0.155664, -0.017726									
KAPCA_HUMAN	Steiner	true																
KAT7_HUMAN	Excluded	false							0, 0.181859, -0.20734, 0.259947, -0.007287, 0.443738, 0.307513, 0.238866									
KCC1A_HUMAN	SigPrize	false	0, -0.142581, 0.551725, 0.139641, 0.660564, 0.973092, 1.707574, 1.738183															
KCD12_HUMAN	Excluded	false							0, -0.395728, -0.245461, -0.026783, -0.285604, -0.08071, -0.100405, 0.380803									
KCRB_HUMAN	Excluded	false							0, -0.295088, -0.011107, 0.007333, 0.17048, -0.046544, 0.113519, 0.408996									
KDM1B_HUMAN	Excluded	false							0, -0.237315, -0.680784, -0.337925, -0.255081, 0.014892, -0.16463, -0.500101									
KDM2B_HUMAN	Excluded	false							0, -0.517844, -0.468199, -0.559793, -0.323479, -0.289876, -0.416328, -0.317795									
KDM5C_HUMAN	Excluded	false							0, -0.376299, -0.440137, -0.591006, -0.705059, -0.381836, -0.269463, -0.201797									
