"SUID","interaction","name","selected","shared interaction","shared name"
"495","None","HM20B_HUMAN (None) HDAC2_HUMAN","false","None","HM20B_HUMAN (None) HDAC2_HUMAN"
"496","None","H2AY_HUMAN (None) SUMO2_HUMAN","false","None","H2AY_HUMAN (None) SUMO2_HUMAN"
"497","None","H2AY_HUMAN (None) HDAC2_HUMAN","false","None","H2AY_HUMAN (None) HDAC2_HUMAN"
"498","None","IRS4_HUMAN (None) CDK5_HUMAN","false","None","IRS4_HUMAN (None) CDK5_HUMAN"
"499","None","LRC47_HUMAN (None) TNAP3_HUMAN","false","None","LRC47_HUMAN (None) TNAP3_HUMAN"
"500","None","FGR_HUMAN (None) CBL_HUMAN","false","None","FGR_HUMAN (None) CBL_HUMAN"
"501","Unknown","EFNA5_HUMAN (Unknown) EPHA7_HUMAN","false","Unknown","EFNA5_HUMAN (Unknown) EPHA7_HUMAN"
"502","Unknown","EFNA5_HUMAN (Unknown) EPHA3_HUMAN","false","Unknown","EFNA5_HUMAN (Unknown) EPHA3_HUMAN"
"503","Unknown","EPHA2_HUMAN (Unknown) EFNA5_HUMAN","false","Unknown","EPHA2_HUMAN (Unknown) EFNA5_HUMAN"
"504","None","EPHA2_HUMAN (None) CBL_HUMAN","false","None","EPHA2_HUMAN (None) CBL_HUMAN"
"505","Unknown","NEK6_HUMAN (Unknown) HACD3_HUMAN","false","Unknown","NEK6_HUMAN (Unknown) HACD3_HUMAN"
"506","Unknown","NEK6_HUMAN (Unknown) EMAL4_HUMAN","false","Unknown","NEK6_HUMAN (Unknown) EMAL4_HUMAN"
"507","None","ELF2_HUMAN (None) SUMO2_HUMAN","false","None","ELF2_HUMAN (None) SUMO2_HUMAN"
"508","None","ELF2_HUMAN (None) RUNX1_HUMAN","false","None","ELF2_HUMAN (None) RUNX1_HUMAN"
"509","Unknown","FAK1_HUMAN (Unknown) AT2B4_HUMAN","false","Unknown","FAK1_HUMAN (Unknown) AT2B4_HUMAN"
"510","Unknown","EGF_HUMAN (Unknown) EGFR_HUMAN","false","Unknown","EGF_HUMAN (Unknown) EGFR_HUMAN"
"511","Activation","EPHA3_HUMAN (Activation) EFNB2_HUMAN","false","Activation","EPHA3_HUMAN (Activation) EFNB2_HUMAN"
"512","None","HIPK2_HUMAN (None) SUMO2_HUMAN","false","None","HIPK2_HUMAN (None) SUMO2_HUMAN"
"513","None","HIPK2_HUMAN (None) MECP2_HUMAN","false","None","HIPK2_HUMAN (None) MECP2_HUMAN"
"514","Activation","HIPK2_HUMAN (Activation) DYR1B_HUMAN","false","Activation","HIPK2_HUMAN (Activation) DYR1B_HUMAN"
"515","Unknown","GRB2_HUMAN (Unknown) PTPRA_HUMAN","false","Unknown","GRB2_HUMAN (Unknown) PTPRA_HUMAN"
"516","Activation","GRB2_HUMAN (Activation) PTN11_HUMAN","false","Activation","GRB2_HUMAN (Activation) PTN11_HUMAN"
"517","Activation","GRB2_HUMAN (Activation) WIPF2_HUMAN","false","Activation","GRB2_HUMAN (Activation) WIPF2_HUMAN"
"518","Inhibition","GRB2_HUMAN (Inhibition) WASL_HUMAN","false","Inhibition","GRB2_HUMAN (Inhibition) WASL_HUMAN"
"519","Activation","GRB2_HUMAN (Activation) PTN18_HUMAN","false","Activation","GRB2_HUMAN (Activation) PTN18_HUMAN"
"520","Unknown","GRB2_HUMAN (Unknown) PHAG1_HUMAN","false","Unknown","GRB2_HUMAN (Unknown) PHAG1_HUMAN"
"521","None","GRB2_HUMAN (None) MK09_HUMAN","false","None","GRB2_HUMAN (None) MK09_HUMAN"
"522","None","GRB2_HUMAN (None) IRS4_HUMAN","false","None","GRB2_HUMAN (None) IRS4_HUMAN"
"523","None","GRB2_HUMAN (None) EGFR_HUMAN","false","None","GRB2_HUMAN (None) EGFR_HUMAN"
"524","None","GRB2_HUMAN (None) CBL_HUMAN","false","None","GRB2_HUMAN (None) CBL_HUMAN"
"525","Activation","GRB2_HUMAN (Activation) GAREM_HUMAN","false","Activation","GRB2_HUMAN (Activation) GAREM_HUMAN"
"526","Activation","GRB2_HUMAN (Activation) DOCK4_HUMAN","false","Activation","GRB2_HUMAN (Activation) DOCK4_HUMAN"
"527","None","DOCK1_HUMAN (None) BCAR1_HUMAN","false","None","DOCK1_HUMAN (None) BCAR1_HUMAN"
"528","None","DLG3_HUMAN (None) AT2B4_HUMAN","false","None","DLG3_HUMAN (None) AT2B4_HUMAN"
"529","None","DLG3_HUMAN (None) APC_HUMAN","false","None","DLG3_HUMAN (None) APC_HUMAN"
"530","None","DESP_HUMAN (None) PKP4_HUMAN","false","None","DESP_HUMAN (None) PKP4_HUMAN"
"531","Inhibition","PP1B_HUMAN (Inhibition) DENR_HUMAN","false","Inhibition","PP1B_HUMAN (Inhibition) DENR_HUMAN"
"532","None","RNF31_HUMAN (None) TNAP3_HUMAN","false","None","RNF31_HUMAN (None) TNAP3_HUMAN"
"533","Unknown","RNF31_HUMAN (Unknown) OTUL_HUMAN","false","Unknown","RNF31_HUMAN (Unknown) OTUL_HUMAN"
"534","Unknown","RNF31_HUMAN (Unknown) HOIL1_HUMAN","false","Unknown","RNF31_HUMAN (Unknown) HOIL1_HUMAN"
"535","Inhibition","SPB1_HUMAN (Inhibition) WDHD1_HUMAN","false","Inhibition","SPB1_HUMAN (Inhibition) WDHD1_HUMAN"
"536","None","CYTSA_HUMAN (None) GLIS2_HUMAN","false","None","CYTSA_HUMAN (None) GLIS2_HUMAN"
"537","None","CYTSA_HUMAN (None) APC_HUMAN","false","None","CYTSA_HUMAN (None) APC_HUMAN"
"538","None","XRCC1_HUMAN (None) PNKP_HUMAN","false","None","XRCC1_HUMAN (None) PNKP_HUMAN"
"539","Activation","WDR48_HUMAN (Activation) WDR70_HUMAN","false","Activation","WDR48_HUMAN (Activation) WDR70_HUMAN"
"540","None","WDR48_HUMAN (None) FACD2_HUMAN","false","None","WDR48_HUMAN (None) FACD2_HUMAN"
"541","Inhibition","WDR48_HUMAN (Inhibition) PSME3_HUMAN","false","Inhibition","WDR48_HUMAN (Inhibition) PSME3_HUMAN"
"542","None","PIAS1_HUMAN (None) SUMO2_HUMAN","false","None","PIAS1_HUMAN (None) SUMO2_HUMAN"
"543","None","MYH10_HUMAN (None) SVIL_HUMAN","false","None","MYH10_HUMAN (None) SVIL_HUMAN"
"544","Unknown","MPRI_HUMAN (Unknown) GGA3_HUMAN","false","Unknown","MPRI_HUMAN (Unknown) GGA3_HUMAN"
"545","Unknown","MK09_HUMAN (Unknown) STAT3_HUMAN","false","Unknown","MK09_HUMAN (Unknown) STAT3_HUMAN"
"546","None","MCRS1_HUMAN (None) CCD53_HUMAN","false","None","MCRS1_HUMAN (None) CCD53_HUMAN"
"547","Unknown","MCRS1_HUMAN (Unknown) ITSN2_HUMAN","false","Unknown","MCRS1_HUMAN (Unknown) ITSN2_HUMAN"
"548","None","LA_HUMAN (None) NUCL_HUMAN","false","None","LA_HUMAN (None) NUCL_HUMAN"
"549","None","IWS1_HUMAN (None) SUMO2_HUMAN","false","None","IWS1_HUMAN (None) SUMO2_HUMAN"
"550","Unknown","ICLN_HUMAN (Unknown) PDLI1_HUMAN","false","Unknown","ICLN_HUMAN (Unknown) PDLI1_HUMAN"
"551","None","DDX58_HUMAN (None) RNF31_HUMAN","false","None","DDX58_HUMAN (None) RNF31_HUMAN"
"552","None","DDX54_HUMAN (None) WDHD1_HUMAN","false","None","DDX54_HUMAN (None) WDHD1_HUMAN"
"553","None","DDX21_HUMAN (None) SUMO2_HUMAN","false","None","DDX21_HUMAN (None) SUMO2_HUMAN"
"554","None","CXCL7_HUMAN (None) SCFD1_HUMAN","false","None","CXCL7_HUMAN (None) SCFD1_HUMAN"
"555","Unknown","CSK21_HUMAN (Unknown) IF2P_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) IF2P_HUMAN"
"556","Unknown","CSK21_HUMAN (Unknown) HIRP3_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) HIRP3_HUMAN"
"557","Unknown","CSK21_HUMAN (Unknown) XRCC1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) XRCC1_HUMAN"
"558","None","CSK21_HUMAN (None) WDR48_HUMAN","false","None","CSK21_HUMAN (None) WDR48_HUMAN"
"559","Unknown","CSK21_HUMAN (Unknown) VAMP4_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) VAMP4_HUMAN"
"560","Unknown","CSK21_HUMAN (Unknown) TELO2_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) TELO2_HUMAN"
"561","None","CSK21_HUMAN (None) TCP4_HUMAN","false","None","CSK21_HUMAN (None) TCP4_HUMAN"
"562","Unknown","CSK21_HUMAN (Unknown) SMC3_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) SMC3_HUMAN"
"563","Unknown","CSK21_HUMAN (Unknown) SAT1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) SAT1_HUMAN"
"564","None","CSK21_HUMAN (None) RU17_HUMAN","false","None","CSK21_HUMAN (None) RU17_HUMAN"
"565","Unknown","CSK21_HUMAN (Unknown) RPRD2_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) RPRD2_HUMAN"
"566","Unknown","CSK21_HUMAN (Unknown) RL1D1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) RL1D1_HUMAN"
"567","Unknown","CSK21_HUMAN (Unknown) RBM33_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) RBM33_HUMAN"
"568","Unknown","CSK21_HUMAN (Unknown) PSIP1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) PSIP1_HUMAN"
"569","Unknown","CSK21_HUMAN (Unknown) PIAS1_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) PIAS1_HUMAN"
"570","Unknown","CSK21_HUMAN (Unknown) PDIA6_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) PDIA6_HUMAN"
"571","Unknown","CSK21_HUMAN (Unknown) MYH10_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) MYH10_HUMAN"
"572","Unknown","CSK21_HUMAN (Unknown) MPRI_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) MPRI_HUMAN"
"573","Unknown","CSK21_HUMAN (Unknown) MK09_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) MK09_HUMAN"
"574","None","CSK21_HUMAN (None) MCRS1_HUMAN","false","None","CSK21_HUMAN (None) MCRS1_HUMAN"
"575","Unknown","CSK21_HUMAN (Unknown) LYRIC_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) LYRIC_HUMAN"
"576","Unknown","CSK21_HUMAN (Unknown) LA_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) LA_HUMAN"
"577","None","CSK21_HUMAN (None) IWS1_HUMAN","false","None","CSK21_HUMAN (None) IWS1_HUMAN"
"578","Unknown","CSK21_HUMAN (Unknown) IF4B_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) IF4B_HUMAN"
"579","Unknown","CSK21_HUMAN (Unknown) ICLN_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) ICLN_HUMAN"
"580","None","CSK21_HUMAN (None) HTSF1_HUMAN","false","None","CSK21_HUMAN (None) HTSF1_HUMAN"
"581","Unknown","CSK21_HUMAN (Unknown) HDAC2_HUMAN","false","Unknown","CSK21_HUMAN (Unknown) HDAC2_HUMAN"
